Journal 	RSS URL
American Journal of Human Genetics	http://www.cell.com/ajhg/current.rss
Bioinformatics	https://academic.oup.com/rss/site_5139/3001.xml
BiorXiv Bioinformatics	https://connect.biorxiv.org/biorxiv_xml.php?subject=bioinformatics
BMC Bioinformatics	https://bmcbioinformatics.biomedcentral.com/articles/most-recent/rss.xml
BMC Genomics	https://bmcgenomics.biomedcentral.com/articles/most-recent/rss.xml
Briefings in Bioinformatics	https://academic.oup.com/rss/site_5143/3005.xml
Cell Systems	https://www.cell.com/cell-systems/current.rss
Foundations and Trends in Machine Learning	https://www.nowpublishers.com/feed/MAL
Genome Biology	https://genomebiology.biomedcentral.com/articles/most-recent/rss.xml
Genome Research	https://genome.cshlp.org/rss/current.xml
MedrXiv Health Informatics	https://connect.medrxiv.org/medrxiv_xml.php?subject=Health_Informatics
Nature	https://www.nature.com/nature.rss
Nature Biotechnology	https://www.nature.com/nbt.rss
Nature Genetics	https://www.nature.com/ng.rss
Nature Machine Intelligence	https://www.nature.com/natmachintell.rss
Nature Reviews Drug Discovery	https://www.nature.com/nrd.rss
PLOS Computational Biology	http://feeds.plos.org/ploscompbiol/NewArticles
Science	https://www.science.org/action/showFeed?type=etoc&feed=rss&jc=science
Trends in Genetics	https://www.cell.com/trends/genetics/current.rss
